Customer_ID,Customer_Name,City,Segment,Signup_Date,Age_Group,Last_Purchase_Date,Last_Purchase_Date
10000,Kimberly Brown,Delhi,Corporate,2024-02-06,18-25,,2025-04-03
10001,Victoria Wood,Pune,Consumer,2024-03-22,18-25,,2025-06-17
10002,Ashley Mathews,Chennai,Consumer,2024-07-29,26-35,,2025-12-28
10003,Courtney Davis,Bangalore,Corporate,2023-11-02,18-25,,2025-11-24
10004,Dr. Dorothy Bennett DVM,Mumbai,Consumer,2024-03-14,50+,,2025-02-28
10005,Joshua Stevens,Mumbai,Consumer,2023-11-18,18-25,,2025-11-01
10006,Andrew Nicholson,Mumbai,Corporate,2023-08-12,26-35,,2025-10-01
10007,John Walker,Hyderabad,Consumer,2024-09-30,18-25,,2025-07-11
10008,Adam Sexton,Bangalore,Consumer,2024-10-07,26-35,,2025-09-14
10009,Lacey Vaughn,Chennai,Consumer,2024-10-20,26-35,,2025-11-22
10010,Lauren Case,Mumbai,Corporate,2023-05-07,18-25,,2025-11-25
10011,Tiffany Chambers,Pune,Consumer,2024-08-07,26-35,,2025-11-08
10012,Jennifer Williams,Hyderabad,Consumer,2024-10-05,26-35,,2024-10-01
10013,Scott Aguirre,Mumbai,Consumer,2024-05-11,50+,,2025-12-28
10014,Mr. Jeffrey Johnson PhD,Mumbai,Consumer,2024-03-08,18-25,,2025-09-07
10015,Dana Klein,Mumbai,Corporate,2023-10-28,26-35,,2025-10-10
10016,Edward Garrett,Delhi,Consumer,2023-11-22,50+,,2025-08-01
10017,John Howard,Bangalore,Consumer,2023-05-25,36-50,,2025-12-11
10018,Amber Harris,Delhi,Consumer,2025-02-10,50+,,2025-12-18
10019,Thomas Rodriguez,Mumbai,Corporate,2023-09-17,50+,,2025-10-31
10020,Jordan Castillo,Bangalore,Consumer,2024-01-09,26-35,,2025-12-15
10021,Adriana Young,Mumbai,Corporate,2024-05-16,36-50,,2025-11-24
10022,Jorge Taylor,Mumbai,Corporate,2024-07-09,18-25,,2025-11-23
10023,Kenneth Osborne,Delhi,Consumer,2024-10-21,26-35,,2025-11-04
10024,Tonya Jenkins,Delhi,Consumer,2024-06-24,36-50,,2025-09-22
10025,Sherry Castillo,Chennai,Consumer,2023-06-22,26-35,,2025-07-27
10026,Steven Martinez,Mumbai,Corporate,2024-08-02,36-50,,2025-12-24
10027,Andrea Davis,Bangalore,Consumer,2023-05-18,36-50,,2025-12-14
10028,David Garrison,Bangalore,Consumer,2023-12-08,26-35,,2025-07-07
10029,Mary Giles,Mumbai,Corporate,2023-05-18,36-50,,2025-07-02
10030,Catherine Mitchell,Bangalore,Consumer,2023-05-11,26-35,,2025-10-31
10031,Patricia Bautista,Mumbai,Consumer,2023-11-14,18-25,,2025-06-03
10032,Chelsey Herman,Mumbai,Consumer,2023-05-03,36-50,,2025-10-01
10033,Jason Sanchez,Pune,Consumer,2024-10-16,26-35,,2025-11-25
10034,Melissa Watkins,Pune,Corporate,2024-09-24,36-50,,2025-12-24
10035,Erin Mendoza,Hyderabad,Consumer,2023-11-30,26-35,,2025-09-30
10036,Sophia George,Delhi,Consumer,2024-05-18,26-35,,2025-10-14
10037,Peter Dodson,Mumbai,Corporate,2024-09-27,36-50,,2025-09-02
10038,Courtney Hayden,Chennai,Consumer,2024-10-18,26-35,,2025-09-18
10039,Christopher Brown,Delhi,Corporate,2024-03-01,26-35,,2025-08-07
10040,Deanna Jones,Mumbai,Corporate,2023-12-09,18-25,,2025-12-16
10041,Bryan Blevins,Delhi,Consumer,2023-12-11,36-50,,2025-11-20
10042,Rebecca Tucker,Mumbai,Consumer,2023-11-19,18-25,,2025-08-29
10043,Heather Smith,Pune,Corporate,2024-12-04,36-50,,2025-11-26
10044,Jamie Miller,Mumbai,Consumer,2024-03-07,26-35,,2025-12-09
10045,Peter Graham,Bangalore,Consumer,2024-05-01,26-35,,2025-11-14
10046,Alison Riley,Delhi,Corporate,2025-02-27,50+,,2025-10-26
10047,Alexis Gonzalez,Bangalore,Consumer,2024-06-23,18-25,,2025-11-10
10048,Kyle Wood,Bangalore,Corporate,2023-04-30,26-35,,2025-08-26
10049,Mr. Keith Anderson,Mumbai,Consumer,2023-07-21,36-50,,2025-09-28
10050,Alan Ward,Pune,Consumer,2023-04-09,36-50,,2025-09-23
10051,Angela Navarro,Chennai,Consumer,2024-04-06,26-35,,2025-09-13
